,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
26,"[[A]] [[structures]] BIM ( building information [[modeling]] ) software from Tekla , a model-based [[software]] provider , has been adopted for the construction [[management]] and delivery of a [[university]] project in Abu Dhabi .","[[per]] [[strսctures]] BIM ( building information [[mоdeling]] ) software from Tekla , a model-based [[sw]] provider , has been adopted for the construction [[mana]] [[gement]] and delivery of a [[universi𝚝y]] project in Abu Dhabi .",0.0007021427154541,0.7773399353027344,1,2,1,111,Successful,"per strսctures BIM ( building information mоdeling ) software from Tekla , a model-based sw provider , has been adopted for the construction mana gement and delivery of a universi𝚝y project in Abu Dhabi .",1
27,"According to Finnish Metso Minerals , the value of the company 's orders has [[gone]] up to EUR 1.9 bn in 12 months .","According to Finnish Metso Minerals , the value of the company 's orders has [[vanished]] up to EUR 1.9 bn in 12 months .",0.0006653666496276,0.9989508390426636,2,0,2,27,Successful,"According to Finnish Metso Minerals , the value of the company 's orders has vanished up to EUR 1.9 bn in 12 months .",0
28,Finnish [[forest]] [[machinery]] manufacturer [[Ponsse]] 's [[net]] [[sales]] [[grew]] to EUR 51.3 mn in the first [[quarter]] of 2010 from EUR [[37]].5 mn in the corresponding period in 2009 .,Finnish [[forestier]] [[machiոery]] manufacturer [[Po]] [[nsse]] 's [[wisp]] [[sells]] [[greԝ]] to EUR 51.3 mn in the first [[quarterly]] of 2010 from EUR [[3𝟕]].5 mn in the corresponding period in 2009 .,0.0006101131439208,0.0251939296722412,2,2,2,97,Failed,Finnish forestier machiոery manufacturer Po nsse 's wisp sells greԝ to EUR 51.3 mn in the first quarterly of 2010 from EUR 3𝟕.5 mn in the corresponding period in 2009 .,2
29,Finnish KCI Konecranes has [[raised]] its net [[sales]] [[growth]] estimate for 2006 from over 25 % to over 35 % .,Finnish KCI Konecranes has [[increased]] its net [[sɑles]] [[gr]] [[owth]] estimate for 2006 from over 25 % to over 35 % .,0.0008367300033569,0.8917047381401062,2,1,2,40,Successful,Finnish KCI Konecranes has increased its net sɑles gr owth estimate for 2006 from over 25 % to over 35 % .,0
30,Finnish pharmaceuticals company Orion 's net sales [[rose]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Finnish pharmaceuticals company Orion 's net sales [[hiked]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,0.0006418824195861,0.9987083077430724,2,0,2,30,Successful,Finnish pharmaceuticals company Orion 's net sales hiked to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,2
31,"Again , the most significant sales [[increase]] of 18.6 % was in Russia .","Again , the most significant sales [[augment]] of 18.6 % was in Russia .",0.0008410215377807,0.5366053581237793,2,1,2,24,Successful,"Again , the most significant sales augment of 18.6 % was in Russia .",2
32,Also [[Lemmink]]+ñinen 's [[profit]] for accounting [[period]] [[went]] up to EUR 3.1 mn from EUR -24.5 mn a [[year]] [[ago]] .,Also [[Lemmnk]]+ñinen 's [[profi𝚝]] for accounting [[perioԁ]] [[walked]] up to EUR 3.1 mn from EUR -24.5 mn a [[yeɑr]] [[a]] [[go]] .,0.0005616545677185,0.6480011940002441,2,1,2,88,Successful,Also Lemmnk+ñinen 's profi𝚝 for accounting perioԁ walked up to EUR 3.1 mn from EUR -24.5 mn a yeɑr a go .,2
33,"Besides we have [[increased]] the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .","Besides we have [[increaѕed]] the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",0.0006735324859619,0.5813488364219666,2,1,2,35,Successful,"Besides we have increaѕed the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",2
34,"Both operating profit and net sales for the three-month period [[increased]] , [[respectively]] from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .","Both operating profit and net sales for the three-month period [[increɑsed]] , [[respectivelу]] from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",0.000597596168518,0.6836127638816833,2,1,2,54,Successful,"Both operating profit and net sales for the three-month period increɑsed , respectivelу from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2
35,[[Diluted]] earnings per share ( EPS ) [[rose]] to EUR 3.68 from EUR 0.50 .,[[Weakened]] earnings per share ( EPS ) [[risen]] to EUR 3.68 from EUR 0.50 .,0.0007141232490539,0.6413453817367554,2,0,2,39,Successful,Weakened earnings per share ( EPS ) risen to EUR 3.68 from EUR 0.50 .,2
36,Finnish cutlery and hand [[tools]] [[maker]] Fiskars Oyj Abp ( HEL : FISAS ) said [[today]] its net [[profit]] [[rose]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,Finnish cutlery and hand [[tols]] [[producers]] Fiskars Oyj Abp ( HEL : FISAS ) said [[tоday]] its net [[profits]] [[hiked]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,0.0005506873130798,0.5356717109680176,2,0,2,96,Successful,Finnish cutlery and hand tols producers Fiskars Oyj Abp ( HEL : FISAS ) said tоday its net profits hiked to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,2
37,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increase]] of 10.8 pct year-on-year .","HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increɑse]] of 10.8 pct year-on-year .",0.0006009340286254,0.9994436502456664,2,1,2,36,Successful,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increɑse of 10.8 pct year-on-year .",1
38,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increase]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .","In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increɑse]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .",0.0008862614631652,0.994075357913971,2,1,2,42,Successful,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increɑse of 1.9 percent from the sales of 19.92 million liters in December 2004 .",2
39,"[[In]] Sweden , operating [[profit]] for the [[period]] under [[review]] totaled EUR 3.4 mn , up [[30]].8 % from the corresponding [[period]] in 2005 .","[[Throughout]] Sweden , operating [[earns]] for the [[timeframe]] under [[reviewing]] totaled EUR 3.4 mn , up [[Ʒ0]].8 % from the corresponding [[periоd]] in 2005 .",0.0006101131439208,0.0007497668266296,2,2,2,66,Failed,"Throughout Sweden , operating earns for the timeframe under reviewing totaled EUR 3.4 mn , up Ʒ0.8 % from the corresponding periоd in 2005 .",2
40,"In the second quarter of 2010 , the group 's net profit [[rose]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .","In the second quarter of 2010 , the group 's net profit [[hiked]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",0.0005816221237182,0.9927930235862732,2,0,2,31,Successful,"In the second quarter of 2010 , the group 's net profit hiked to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2
41,[[Its]] market share [[widened]] to 48.51 percent from 48.31 percent a year earlier .,[[Ses]] market share [[wi]] [[dened]] to 48.51 percent from 48.31 percent a year earlier .,0.0005251765251159,0.7346916794776917,2,0,2,29,Successful,Ses market share wi dened to 48.51 percent from 48.31 percent a year earlier .,2
42,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[rose]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .","( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[hiked]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",0.0005555748939514,0.9985584020614624,2,0,2,45,Successful,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit hiked to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2
43,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit [[rose]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit [[hiked]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",0.0005679726600646,0.9634592533111572,2,0,2,45,Successful,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit hiked to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",2
44,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[rose]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s","( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[hiked]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",0.0005671381950378,0.988768994808197,2,0,2,46,Successful,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit hiked to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",2
45,Net [[interest]] [[income]] [[increased]] by [[4]].[[5]] % to EUR 31.4 mn from EUR [[30]].[[0]] [[mn]] in 2004 .,Net [[iոterest]] [[incomes]] [[increaseԁ]] by [[Ꮞ]].[[Ƽ]] % to EUR 31.4 mn from EUR [[3O]].[[O]] [[minutes]] in 2004 .,0.0006041526794433,0.0090716481208801,2,2,2,83,Failed,Net iոterest incomes increaseԁ by Ꮞ.Ƽ % to EUR 31.4 mn from EUR 3O.O minutes in 2004 .,2
46,Operating [[income]] [[rose]] to EUR 696.4 mn from EUR 600.3 mn in [[2009]] .,Operating [[revenues]] [[hiked]] to EUR 696.4 mn from EUR 600.3 mn in [[20]] [[09]] .,0.0006666779518127,0.9833495020866394,2,0,2,36,Successful,Operating revenues hiked to EUR 696.4 mn from EUR 600.3 mn in 20 09 .,2
47,Operating profit [[rose]] to EUR [[13]].[[5]] mn from [[EUR]] 9.7 mn in the corresponding [[period]] in 2006 .,Operating profit [[hiked]] to EUR [[l3]].[[Ƽ]] mn from [[EUROS]] 9.7 mn in the corresponding [[perioԁ]] in 2006 .,0.000634491443634,0.0156188011169433,2,2,2,51,Failed,Operating profit hiked to EUR l3.Ƽ mn from EUROS 9.7 mn in the corresponding perioԁ in 2006 .,2
48,Operating [[profit]] [[rose]] to EUR 4.7 [[mn]] from EUR 4.6 mn .,Operating [[profits]] [[hiked]] to EUR 4.7 [[ｍn]] from EUR 4.6 mn .,0.0006963014602661,0.4512962698936462,2,2,2,48,Failed,Operating profits hiked to EUR 4.7 ｍn from EUR 4.6 mn .,2
49,"Operating [[profit]] [[totaled]] [[EUR]] [[37]],7 [[mn]] , up [[slightly]] from EUR 37.2 mn in the [[corresponding]] period in 2006 .","Operating [[earns]] [[totals]] [[EUROS]] [[Ʒ7]],7 [[ｍn]] , up [[marginally]] from EUR 37.2 mn in the [[corresonding]] period in 2006 .",0.000612735748291,0.0007160305976867,2,2,2,77,Failed,"Operating earns totals EUROS Ʒ7,7 ｍn , up marginally from EUR 37.2 mn in the corresonding period in 2006 .",2
50,Orion [[Pharma]] 's operating profit [[increased]] by 42.5 % from 2004 .,Orion [[Medication]] 's operating profit [[increɑsed]] by 42.5 % from 2004 .,0.0005611777305603,0.8354273438453674,2,1,2,38,Successful,Orion Medication 's operating profit increɑsed by 42.5 % from 2004 .,2
51,"Press release 9 October 2009 Ruukki has [[signed]] a [[contract]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Press release 9 October 2009 Ruukki has [[signature]] a [[contrac𝚝]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",0.0007403492927551,0.5893661975860596,2,1,2,48,Successful,"Press release 9 October 2009 Ruukki has signature a contrac𝚝 to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",2
52,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent [[growth]] in beer [[sales]] for January-September to 101.99 million liters .","Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent [[ɡrowth]] in beer [[salts]] for January-September to 101.99 million liters .",0.0005313754081726,0.8091665506362915,2,1,2,49,Successful,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent ɡrowth in beer salts for January-September to 101.99 million liters .",0
53,"[[The]] [[company]] 's [[operating]] [[income]] ( EBIT ) totalled EUR [[0]].0 mn , up from EUR -0.3 [[mn]] [[year-on-year]] .","[[Per]] [[corporation]] 's [[operative]] [[revenue]] ( EBIT ) totalled EUR [[O]].0 mn , up from EUR -0.3 [[minutes]] [[yeaⲅ-on-year]] .",0.0006000995635986,0.000694990158081,2,2,2,75,Failed,"Per corporation 's operative revenue ( EBIT ) totalled EUR O.0 mn , up from EUR -0.3 minutes yeaⲅ-on-year .",2
54,"[[The]] [[Finnish]] government announced [[Wednesday]] that it sold a 32 [[percent]] stake in [[chemicals]] and fertilizer group [[Kemira]] [[Oyj]] for (  [[x20ac]] ) [[655]].6 [[million]] ( $ [[890US]] million ) , [[sending]] the company 's [[share]] price up 6 percent .","[[Tհe]] [[Helsinki]] government announced [[Thursday]] that it sold a 32 [[pеrcent]] stake in [[chemist]] and fertilizer group [[Kemria]] [[Oуj]] for (  [[x2]] [[0ac]] ) [[6]] [[55]].6 [[billions]] ( $ [[8৭0US]] million ) , [[senԁing]] the company 's [[shaⲅe]] price up 6 percent .",0.0004911422729492,0.1768516898155212,2,2,2,167,Failed,"Tհe Helsinki government announced Thursday that it sold a 32 pеrcent stake in chemist and fertilizer group Kemria Oуj for (  x2 0ac ) 6 55.6 billions ( $ 8৭0US million ) , senԁing the company 's shaⲅe price up 6 percent .",2
55,The [[stock]] [[rose]] for a second day on Wednesday bringing its [[two-day]] rise to GBX12 .0 or 2.0 % .,The [[stoc𝒌]] [[risen]] for a second day on Wednesday bringing its [[two˗day]] rise to GBX12 .0 or 2.0 % .,0.0005824565887451,0.004262089729309,2,2,2,40,Failed,The stoc𝒌 risen for a second day on Wednesday bringing its two˗day rise to GBX12 .0 or 2.0 % .,2
56,"There has been some [[recovery]] of the base metals prices and [[increased]] demand for metals in China , however .","There has been some [[recovering]] of the base metals prices and [[increɑsed]] demand for metals in China , however .",0.0010440349578857,0.995921790599823,2,1,2,44,Successful,"There has been some recovering of the base metals prices and increɑsed demand for metals in China , however .",1
