,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
10,The [[agreement]] [[strengthens]] our long-term partnership with Nokia Siemens Networks .,The [[correspondence]] [[tone]] our long-term partnership with Nokia Siemens Networks .,0.0006083250045776,0.996331751346588,2,1,2,36,Successful,The correspondence tone our long-term partnership with Nokia Siemens Networks .,1
11,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[signed]] an [[agreement]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[sign-language]] an [[correspondence]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0.0007235407829284,0.9993439316749572,2,1,2,227,Successful,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today sign-language an correspondence by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1
12,"The OMX Helsinki 25 index was up [[0]].92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","The OMX Helsinki 25 index was up [[cipher]].92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",0.0005574822425842,0.5751954317092896,2,1,2,96,Successful,"The OMX Helsinki 25 index was up cipher.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",1
13,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a [[turnover]] of 76.5 mln eur in 2005 .,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a [[overturn]] of 76.5 mln eur in 2005 .,0.0005393624305725,0.9905246496200562,1,0,1,110,Successful,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a overturn of 76.5 mln eur in 2005 .,0
14,[[Under]] this agreement Biohit [[becomes]] a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,[[below]] this agreement Biohit [[turn]] a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,0.0014497637748718,0.9821948409080504,2,1,2,88,Successful,below this agreement Biohit turn a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1
15,"Adjusted for changes in the Group structure , the Division 's [[net]] [[sales]] [[increased]] by 1.7 % .","Adjusted for changes in the Group structure , the Division 's [[last]] [[sale]] [[increase]] by 1.7 % .",0.0005604624748229,0.9966978430747986,2,1,2,101,Successful,"Adjusted for changes in the Group structure , the Division 's last sale increase by 1.7 % .",1
16,Finnish Aktia Group 's operating [[profit]] [[rose]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,Finnish Aktia Group 's operating [[earnings]] [[rebel]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0.0006313920021057,0.9907143712043762,2,0,2,183,Successful,Finnish Aktia Group 's operating earnings rebel to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0
17,"Finnish high technology provider Vaahto Group reports [[net]] sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .","Finnish high technology provider Vaahto Group reports [[sack]] sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",0.0006898641586303,0.996967315673828,2,0,2,135,Successful,"Finnish high technology provider Vaahto Group reports sack sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",0
18,Biohit already services many current Genesis customers and the customer base is expected to [[expand]] as a result of this agreement .,Biohit already services many current Genesis customers and the customer base is expected to [[exposit]] as a result of this agreement .,0.0007159113883972,0.9983137249946594,2,1,2,122,Successful,Biohit already services many current Genesis customers and the customer base is expected to exposit as a result of this agreement .,1
19,Circulation [[revenue]] has [[increased]] by [[5]] % in Finland and [[4]] % in Sweden in 2008 .,Circulation [[taxation]] has [[increase]] by [[quintuplet]] % in Finland and [[quaternary]] % in Sweden in 2008 .,0.000552475452423,0.9940847158432008,2,1,2,64,Successful,Circulation taxation has increase by quintuplet % in Finland and quaternary % in Sweden in 2008 .,1
20,"In 2009 , Fiskars ' cash [[flow]] from operating activities amounted to EUR121m , up from EUR97m in the previous year .","In 2009 , Fiskars ' cash [[fall]] from operating activities amounted to EUR121m , up from EUR97m in the previous year .",0.0005592703819274,0.9990152716636658,2,0,2,78,Successful,"In 2009 , Fiskars ' cash fall from operating activities amounted to EUR121m , up from EUR97m in the previous year .",0
21,[[Operating]] [[profit]] [[margin]] [[increased]] from [[11]].[[2]] % to 11.[[7]] % .,[[manoeuvre]] [[lucre]] [[border]] [[increase]] from [[eleven]].[[deuce]] % to 11.[[septenary]] % .,0.0005803108215332,0.1545130610466003,2,2,2,95,Failed,manoeuvre lucre border increase from eleven.deuce % to 11.septenary % .,2
22,"The circuit 's overall production rate on a weekly basis is now in [[excess]] of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .","The circuit 's overall production rate on a weekly basis is now in [[surplus]] of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",0.0006396174430847,0.9980217814445496,2,0,2,155,Successful,"The circuit 's overall production rate on a weekly basis is now in surplus of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",0
23,"The [[last]] quarter was the best quarter of 2009 in net sales , and the operating margin [[rose]] to 12.2 % .","The [[lowest]] quarter was the best quarter of 2009 in net sales , and the operating margin [[rebel]] to 12.2 % .",0.0005260109901428,0.9960169196128844,2,0,2,204,Successful,"The lowest quarter was the best quarter of 2009 in net sales , and the operating margin rebel to 12.2 % .",0
24,"The transaction [[doubles]] Tecnomens workforse , and adds a fourth to their net sales .","The transaction [[two-baser]] Tecnomens workforse , and adds a fourth to their net sales .",0.0006594061851501,0.9990710616111756,2,1,2,72,Successful,"The transaction two-baser Tecnomens workforse , and adds a fourth to their net sales .",1
25,"`` The priority for 2009 was to [[strengthen]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .","`` The priority for 2009 was to [[tone]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",0.001566469669342,0.9751499891281128,2,1,2,101,Successful,"`` The priority for 2009 was to tone the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",1
26,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been [[adopted]] for the construction management and [[delivery]] of a university project in Abu Dhabi .","A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been [[acquire]] for the construction management and [[rescue]] of a university project in Abu Dhabi .",0.0007021427154541,0.8513476848602295,1,2,1,115,Successful,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been acquire for the construction management and rescue of a university project in Abu Dhabi .",2
27,"According to Finnish Metso Minerals , the value of the company 's orders has [[gone]] up to EUR 1.9 bn in 12 months .","According to Finnish Metso Minerals , the value of the company 's orders has [[fail]] up to EUR 1.9 bn in 12 months .",0.0006653666496276,0.9982587099075316,2,0,2,182,Successful,"According to Finnish Metso Minerals , the value of the company 's orders has fail up to EUR 1.9 bn in 12 months .",0
28,Finnish forest machinery manufacturer Ponsse 's net [[sales]] [[grew]] to EUR 51.3 mn in the first [[quarter]] of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,Finnish forest machinery manufacturer Ponsse 's net [[sale]] [[originate]] to EUR 51.3 mn in the first [[stern]] of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,0.0006101131439208,0.7387546300888062,2,1,2,175,Successful,Finnish forest machinery manufacturer Ponsse 's net sale originate to EUR 51.3 mn in the first stern of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,1
29,Finnish KCI Konecranes has raised its [[net]] sales [[growth]] estimate for 2006 from over 25 % to over 35 % .,Finnish KCI Konecranes has raised its [[last]] sales [[emergence]] estimate for 2006 from over 25 % to over 35 % .,0.0008367300033569,0.955014705657959,2,1,2,115,Successful,Finnish KCI Konecranes has raised its last sales emergence estimate for 2006 from over 25 % to over 35 % .,1
30,Finnish pharmaceuticals company Orion 's net sales [[rose]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Finnish pharmaceuticals company Orion 's net sales [[originate]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,0.0006418824195861,0.998708724975586,2,1,2,145,Successful,Finnish pharmaceuticals company Orion 's net sales originate to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,1
31,"Again , the most significant sales [[increase]] of 18.6 % was in Russia .","Again , the most significant sales [[increment]] of 18.6 % was in Russia .",0.0008410215377807,0.9966074228286744,2,1,2,38,Successful,"Again , the most significant sales increment of 18.6 % was in Russia .",1
32,Also Lemmink+ñinen 's profit for accounting period [[went]] up to EUR 3.1 mn from EUR -24.5 mn a year ago .,Also Lemmink+ñinen 's profit for accounting period [[fail]] up to EUR 3.1 mn from EUR -24.5 mn a year ago .,0.0005616545677185,0.9963734745979308,2,0,2,163,Successful,Also Lemmink+ñinen 's profit for accounting period fail up to EUR 3.1 mn from EUR -24.5 mn a year ago .,0
33,"Besides we have increased the share of meat in various sausages and are offering a [[number]] of [[new]] tastes in the grill products and shish kebabs segment , '' Paavel said .","Besides we have increased the share of meat in various sausages and are offering a [[list]] of [[unexampled]] tastes in the grill products and shish kebabs segment , '' Paavel said .",0.0006735324859619,0.9827154278755188,2,1,2,152,Successful,"Besides we have increased the share of meat in various sausages and are offering a list of unexampled tastes in the grill products and shish kebabs segment , '' Paavel said .",1
34,"Both [[operating]] [[profit]] and [[net]] [[sales]] for the three-month period [[increased]] , respectively from EUR16 .[[0]] m and EUR139m , as compared to the [[corresponding]] [[quarter]] in 2006 .","Both [[work]] [[earnings]] and [[sack]] [[sale]] for the three-month period [[increase]] , respectively from EUR16 .[[cypher]] m and EUR139m , as compared to the [[correspond]] [[billet]] in 2006 .",0.000597596168518,0.001063048839569,2,2,2,167,Failed,"Both work earnings and sack sale for the three-month period increase , respectively from EUR16 .cypher m and EUR139m , as compared to the correspond billet in 2006 .",2
35,[[Diluted]] earnings per share ( EPS ) [[rose]] to EUR 3.68 from EUR 0.50 .,[[thin]] earnings per share ( EPS ) [[resurrect]] to EUR 3.68 from EUR 0.50 .,0.0007141232490539,0.9928470849990844,2,0,2,127,Successful,thin earnings per share ( EPS ) resurrect to EUR 3.68 from EUR 0.50 .,0
36,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its [[net]] profit [[rose]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its [[last]] profit [[rebel]] to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,0.0005506873130798,0.9887110590934752,2,0,2,235,Successful,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its last profit rebel to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,0
37,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increase]] of 10.8 pct year-on-year .","HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increment]] of 10.8 pct year-on-year .",0.0006009340286254,0.9664914608001708,2,1,2,85,Successful,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increment of 10.8 pct year-on-year .",1
38,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increase]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .","In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increment]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .",0.0008862614631652,0.8007721304893494,2,1,2,147,Successful,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increment of 1.9 percent from the sales of 19.92 million liters in December 2004 .",1
39,"[[In]] Sweden , [[operating]] [[profit]] for the period under [[review]] [[totaled]] EUR [[3]].[[4]] mn , up [[30]].8 % from the corresponding [[period]] in 2005 .","[[inward]] Sweden , [[work]] [[earnings]] for the period under [[critique]] [[total]] EUR [[III]].[[quadruplet]] mn , up [[XXX]].8 % from the corresponding [[menstruation]] in 2005 .",0.0006101131439208,0.0035076737403869,2,2,2,261,Failed,"inward Sweden , work earnings for the period under critique total EUR III.quadruplet mn , up XXX.8 % from the corresponding menstruation in 2005 .",2
40,"In the second quarter of 2010 , the group 's [[net]] profit [[rose]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .","In the second quarter of 2010 , the group 's [[last]] profit [[originate]] to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",0.0005816221237182,0.998677372932434,2,1,2,193,Successful,"In the second quarter of 2010 , the group 's last profit originate to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",1
41,Its [[market]] [[share]] [[widened]] to [[48]].[[51]] percent from [[48]].[[31]] percent a year [[earlier]] .,Its [[marketplace]] [[percentage]] [[broaden]] to [[forty-eight]].[[li]] percent from [[xlviii]].[[thirty-one]] percent a year [[early]] .,0.0005251765251159,0.0008696913719177,2,2,2,95,Failed,Its marketplace percentage broaden to forty-eight.li percent from xlviii.thirty-one percent a year early .,2
42,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[rose]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .","( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit [[rebel]] to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",0.0005555748939514,0.9161359667778016,2,0,2,227,Successful,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rebel to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",0
43,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its [[net]] profit [[rose]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its [[last]] profit [[rebel]] to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",0.0005679726600646,0.9921666979789734,2,0,2,216,Successful,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its last profit rebel to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",0
44,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[rose]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s","( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit [[rebel]] to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",0.0005671381950378,0.5567847490310669,2,0,2,237,Successful,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rebel to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",0
45,[[Net]] [[interest]] income [[increased]] by [[4]].[[5]] % to EUR [[31]].4 mn from EUR 30.0 mn in 2004 .,[[profits]] [[worry]] income [[increase]] by [[quadruplet]].[[quint]] % to EUR [[xxxi]].4 mn from EUR 30.0 mn in 2004 .,0.0006041526794433,0.2124882936477661,2,2,2,170,Failed,profits worry income increase by quadruplet.quint % to EUR xxxi.4 mn from EUR 30.0 mn in 2004 .,2
46,Operating income [[rose]] to EUR 696.[[4]] mn from EUR 600.3 mn in 2009 .,Operating income [[rebel]] to EUR 696.[[quadruplet]] mn from EUR 600.3 mn in 2009 .,0.0006666779518127,0.972470223903656,2,0,2,119,Successful,Operating income rebel to EUR 696.quadruplet mn from EUR 600.3 mn in 2009 .,0
47,Operating [[profit]] [[rose]] to EUR 13.[[5]] mn from EUR 9.7 mn in the corresponding period in 2006 .,Operating [[earnings]] [[rebel]] to EUR 13.[[pentad]] mn from EUR 9.7 mn in the corresponding period in 2006 .,0.000634491443634,0.7387024760246277,2,0,2,149,Successful,Operating earnings rebel to EUR 13.pentad mn from EUR 9.7 mn in the corresponding period in 2006 .,0
48,Operating [[profit]] [[rose]] to EUR [[4]].7 mn from EUR 4.6 mn .,Operating [[earnings]] [[rebel]] to EUR [[quadruplet]].7 mn from EUR 4.6 mn .,0.0006963014602661,0.9460648894309998,2,0,2,151,Successful,Operating earnings rebel to EUR quadruplet.7 mn from EUR 4.6 mn .,0
49,"[[Operating]] [[profit]] [[totaled]] EUR [[37]],[[7]] [[mn]] , up [[slightly]] from EUR 37.2 [[mn]] in the [[corresponding]] [[period]] in 2006 .","[[operational]] [[profits]] [[tot]] EUR [[thirty-seven]],[[septet]] [[Minnesota]] , up [[slimly]] from EUR 37.2 [[Minnesota]] in the [[check]] [[menses]] in 2006 .",0.000612735748291,0.0274770259857177,2,2,2,164,Failed,"operational profits tot EUR thirty-seven,septet Minnesota , up slimly from EUR 37.2 Minnesota in the check menses in 2006 .",2
50,[[Orion]] Pharma 's operating [[profit]] [[increased]] by [[42]].[[5]] % from 2004 .,[[Hunter]] Pharma 's operating [[earnings]] [[increase]] by [[forty-two]].[[five]] % from 2004 .,0.0005611777305603,0.0007801055908203,2,2,2,79,Failed,Hunter Pharma 's operating earnings increase by forty-two.five % from 2004 .,2
51,"Press release 9 October 2009 Ruukki has [[signed]] a [[contract]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Press release 9 October 2009 Ruukki has [[signalise]] a [[reduce]] to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",0.0007403492927551,0.9893561601638794,2,1,2,182,Successful,"Press release 9 October 2009 Ruukki has signalise a reduce to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",1
52,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , [[posted]] a 6.1 percent [[growth]] in beer sales for January-September to 101.99 million liters .","Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , [[stake]] a 6.1 percent [[outgrowth]] in beer sales for January-September to 101.99 million liters .",0.0005313754081726,0.8147742748260498,2,1,2,166,Successful,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , stake a 6.1 percent outgrowth in beer sales for January-September to 101.99 million liters .",1
53,"The [[company]] 's [[operating]] income ( [[EBIT]] ) [[totalled]] EUR [[0]].0 [[mn]] , up from EUR -[[0]].[[3]] mn year-on-year .","The [[party]] 's [[operate]] income ( [[Eb]] ) [[tally]] EUR [[zero]].0 [[Minnesota]] , up from EUR -[[nought]].[[ternary]] mn year-on-year .",0.0006000995635986,0.0007432103157043,2,2,2,158,Failed,"The party 's operate income ( Eb ) tally EUR zero.0 Minnesota , up from EUR -nought.ternary mn year-on-year .",2
54,"The Finnish government announced Wednesday that it sold a 32 percent [[stake]] in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , [[sending]] the company 's share [[price]] up 6 percent .","The Finnish government announced Wednesday that it sold a 32 percent [[jeopardize]] in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , [[direct]] the company 's share [[damage]] up 6 percent .",0.0004911422729492,0.7069972157478333,2,0,2,181,Successful,"The Finnish government announced Wednesday that it sold a 32 percent jeopardize in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , direct the company 's share damage up 6 percent .",0
55,The [[stock]] [[rose]] for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,The [[livestock]] [[rebel]] for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,0.0005824565887451,0.7633315920829773,2,0,2,208,Successful,The livestock rebel for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,0
56,"There has been some [[recovery]] of the base metals prices and increased demand for metals in China , however .","There has been some [[convalescence]] of the base metals prices and increased demand for metals in China , however .",0.0010440349578857,0.6519763469696045,2,1,2,87,Successful,"There has been some convalescence of the base metals prices and increased demand for metals in China , however .",1
57,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[extend]] these services to its customers .","TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[prolong]] these services to its customers .",0.0005635619163513,0.9990711212158204,2,0,2,118,Successful,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now prolong these services to its customers .",0
58,Vacon 's cash [[flow]] from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,Vacon 's cash [[fall]] from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,0.0005761384963989,0.9990237951278688,2,0,2,96,Successful,Vacon 's cash fall from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,0
59,Vacon will supply [[drives]] to Ruselprom in the power range from 200 kW up to 2 MW .,Vacon will supply [[campaign]] to Ruselprom in the power range from 200 kW up to 2 MW .,0.0018489956855773,0.9706310629844666,1,2,1,119,Successful,Vacon will supply campaign to Ruselprom in the power range from 200 kW up to 2 MW .,2
60,"With the acquisition , the [[company]] will [[expand]] its offering to North , Central and South America , it said .","With the acquisition , the [[fellowship]] will [[expound]] its offering to North , Central and South America , it said .",0.000694990158081,0.8933870792388916,2,1,2,102,Successful,"With the acquisition , the fellowship will expound its offering to North , Central and South America , it said .",1
