,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
10,[[The]] agreement [[strengthens]] our long-term partnership with Nokia Siemens Networks .,[[he]] agreement [[streMgthens]] our long-term partnership with Nokia Siemens Networks .,0.0006083250045776,0.7329071164131165,2,1,2,17,Successful,he agreement streMgthens our long-term partnership with Nokia Siemens Networks .,1
11,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[signed]] an [[agreement]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[sjigned]] an [[agreFment]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0.0007235407829284,0.9916083216667176,2,1,2,38,Successful,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today sjigned an agreFment by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1
12,"[[The]] OMX Helsinki 25 [[index]] was up 0.92 [[pct]] at 2,[[518]].67 and the Helsinki CAP portfolio [[index]] was 0.[[91]] [[pct]] [[higher]] at 4,[[711]].19 .","[[Te]] OMX Helsinki 25 [[indcex]] was up 0.92 [[Zct]] at 2,[[58]].67 and the Helsinki CAP portfolio [[iEndex]] was 0.[[19]] [[pcXt]] [[highe]] at 4,[[11]].19 .",0.0005574822425842,0.9985141754150392,2,1,2,79,Successful,"Te OMX Helsinki 25 indcex was up 0.92 Zct at 2,58.67 and the Helsinki CAP portfolio iEndex was 0.19 pcXt highe at 4,11.19 .",1
13,[[Tiimari]] [[operates]] [[194]] [[stores]] in six countries -- [[including]] its [[core]] [[Finnish]] market -- and generated a [[turnover]] of [[76]].5 [[mln]] [[eur]] in [[2005]] .,[[TiIimari]] [[oXperates]] [[19f]] [[storew]] in six countries -- [[icluding]] its [[coee]] [[FZnnish]] market -- and generated a [[turnovmer]] of [[7]].5 [[mnl]] [[er]] in [[20T05]] .,0.0005393624305725,0.6449655294418335,1,2,1,82,Successful,TiIimari oXperates 19f storew in six countries -- icluding its coee FZnnish market -- and generated a turnovmer of 7.5 mnl er in 20T05 .,2
14,Under this agreement Biohit becomes a focus [[supplier]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,Under this agreement Biohit becomes a focus [[suppleir]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,0.0014497637748718,0.9464849829673768,2,1,2,19,Successful,Under this agreement Biohit becomes a focus suppleir of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1
15,"Adjusted for changes in the Group [[structure]] , the Division 's net [[sales]] [[increased]] by 1.7 % .","Adjusted for changes in the Group [[ssructure]] , the Division 's net [[Rsales]] [[increaesd]] by 1.7 % .",0.0005604624748229,0.9943950176239014,2,1,2,23,Successful,"Adjusted for changes in the Group ssructure , the Division 's net Rsales increaesd by 1.7 % .",1
16,[[Finnish]] Aktia Group 's operating profit [[rose]] to EUR 17.5 mn in the [[first]] quarter of [[2010]] from [[EUR]] 8.2 mn in the [[first]] quarter of 2009 .,[[Finnis]] Aktia Group 's operating profit [[ros]] to EUR 17.5 mn in the [[frist]] quarter of [[2001]] from [[EUZ]] 8.2 mn in the [[firsTt]] quarter of 2009 .,0.0006313920021057,0.0176383852958679,2,2,2,88,Failed,Finnis Aktia Group 's operating profit ros to EUR 17.5 mn in the frist quarter of 2001 from EUZ 8.2 mn in the firsTt quarter of 2009 .,2
17,"Finnish high technology provider Vaahto Group reports net [[sales]] of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[increase]] of 11.2 % from a year earlier .","Finnish high technology provider Vaahto Group reports net [[ales]] of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[increYase]] of 11.2 % from a year earlier .",0.0006898641586303,0.9770795106887816,2,1,2,33,Successful,"Finnish high technology provider Vaahto Group reports net ales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increYase of 11.2 % from a year earlier .",1
18,Biohit already services many current Genesis customers and the customer base is expected to [[expand]] as a result of this agreement .,Biohit already services many current Genesis customers and the customer base is expected to [[xepand]] as a result of this agreement .,0.0007159113883972,0.9987311959266664,2,1,2,18,Successful,Biohit already services many current Genesis customers and the customer base is expected to xepand as a result of this agreement .,1
19,Circulation [[revenue]] has [[increased]] by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation [[reGvenue]] has [[increSsed]] by 5 % in Finland and 4 % in Sweden in 2008 .,0.000552475452423,0.9988170266151428,2,0,2,17,Successful,Circulation reGvenue has increSsed by 5 % in Finland and 4 % in Sweden in 2008 .,0
20,"[[In]] 2009 , [[Fiskars]] ' [[cash]] [[flow]] from operating activities [[amounted]] to EUR121m , up from EUR97m in the previous [[year]] .","[[I]] 2009 , [[iFskars]] ' [[acsh]] [[low]] from operating activities [[amounteJd]] to EUR121m , up from EUR97m in the previous [[yeajr]] .",0.0005592703819274,0.9493470191955566,2,0,2,41,Successful,"I 2009 , iFskars ' acsh low from operating activities amounteJd to EUR121m , up from EUR97m in the previous yeajr .",0
21,Operating [[profit]] margin [[increased]] from 11.2 % to 11.7 % .,Operating [[crofit]] margin [[icreased]] from 11.2 % to 11.7 % .,0.0005803108215332,0.994640052318573,2,1,2,17,Successful,Operating crofit margin icreased from 11.2 % to 11.7 % .,1
22,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being [[reached]] on individual days .","The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being [[rached]] on individual days .",0.0006396174430847,0.998267412185669,2,0,2,29,Successful,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being rached on individual days .",0
23,"The last quarter was the [[best]] quarter of 2009 in net sales , and the operating margin [[rose]] to 12.2 % .","The last quarter was the [[bebt]] quarter of 2009 in net sales , and the operating margin [[ros]] to 12.2 % .",0.0005260109901428,0.9984407424926758,2,1,2,26,Successful,"The last quarter was the bebt quarter of 2009 in net sales , and the operating margin ros to 12.2 % .",1
24,"The transaction [[doubles]] Tecnomens workforse , and adds a fourth to their net sales .","The transaction [[doubls]] Tecnomens workforse , and adds a fourth to their net sales .",0.0006594061851501,0.9962907433509828,2,1,2,14,Successful,"The transaction doubls Tecnomens workforse , and adds a fourth to their net sales .",1
25,"`` The priority for 2009 was to strengthen the company 's balance sheet and [[increase]] cash flow , '' CEO Hannu Krook said .","`` The priority for 2009 was to strengthen the company 's balance sheet and [[inDrease]] cash flow , '' CEO Hannu Krook said .",0.001566469669342,0.8308184742927551,2,1,2,20,Successful,"`` The priority for 2009 was to strengthen the company 's balance sheet and inDrease cash flow , '' CEO Hannu Krook said .",1
26,"A [[structures]] BIM ( [[building]] information [[modeling]] ) [[software]] from [[Tekla]] , a [[model-based]] [[software]] provider , has been [[adopted]] for the construction [[management]] and delivery of a [[university]] project in Abu Dhabi .","A [[srtuctures]] BIM ( [[buinding]] information [[moeling]] ) [[softward]] from [[TeNla]] , a [[model-bCased]] [[softwre]] provider , has been [[adoputed]] for the construction [[mnaagement]] and delivery of a [[unievrsity]] project in Abu Dhabi .",0.0007021427154541,0.9956390261650084,1,2,1,91,Successful,"A srtuctures BIM ( buinding information moeling ) softward from TeNla , a model-bCased softwre provider , has been adoputed for the construction mnaagement and delivery of a unievrsity project in Abu Dhabi .",2
27,"[[According]] to Finnish Metso Minerals , the [[value]] of the [[company]] 's orders has [[gone]] up to EUR 1.9 bn in 12 months .","[[Zccording]] to Finnish Metso Minerals , the [[valie]] of the [[comany]] 's orders has [[Xone]] up to EUR 1.9 bn in 12 months .",0.0006653666496276,0.6652630567550659,2,1,2,31,Successful,"Zccording to Finnish Metso Minerals , the valie of the comany 's orders has Xone up to EUR 1.9 bn in 12 months .",1
28,[[Finnish]] forest machinery manufacturer [[Ponsse]] 's net sales [[grew]] to EUR [[51]].3 [[mn]] in the first [[quarter]] of 2010 from [[EUR]] 37.5 [[mn]] in the corresponding period in 2009 .,[[Finish]] forest machinery manufacturer [[PMnsse]] 's net sales [[gre]] to EUR [[5R1]].3 [[nm]] in the first [[quartler]] of 2010 from [[LEUR]] 37.5 [[m]] in the corresponding period in 2009 .,0.0006101131439208,0.9422630071640016,2,1,2,86,Successful,Finish forest machinery manufacturer PMnsse 's net sales gre to EUR 5R1.3 nm in the first quartler of 2010 from LEUR 37.5 m in the corresponding period in 2009 .,1
29,Finnish KCI Konecranes has raised its [[net]] [[sales]] [[growth]] estimate for 2006 from over 25 % to over 35 % .,Finnish KCI Konecranes has raised its [[neF]] [[saKles]] [[rowth]] estimate for 2006 from over 25 % to over 35 % .,0.0008367300033569,0.6389800310134888,2,1,2,24,Successful,Finnish KCI Konecranes has raised its neF saKles rowth estimate for 2006 from over 25 % to over 35 % .,1
30,Finnish pharmaceuticals company Orion 's net [[sales]] [[rose]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Finnish pharmaceuticals company Orion 's net [[sale]] [[roes]] to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,0.0006418824195861,0.9429861903190612,2,1,2,26,Successful,Finnish pharmaceuticals company Orion 's net sale roes to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,1
31,"Again , the most significant sales [[increase]] of 18.6 % was in Russia .","Again , the most significant sales [[increZase]] of 18.6 % was in Russia .",0.0008410215377807,0.9992856383323668,2,1,2,11,Successful,"Again , the most significant sales increZase of 18.6 % was in Russia .",1
32,Also Lemmink+ñinen 's [[profit]] for accounting [[period]] [[went]] up to [[EUR]] 3.1 mn from EUR -24.5 mn a year [[ago]] .,Also Lemmink+ñinen 's [[proift]] for accounting [[perid]] [[vent]] up to [[ERU]] 3.1 mn from EUR -24.5 mn a year [[ao]] .,0.0005616545677185,0.7431763410568237,2,1,2,38,Successful,Also Lemmink+ñinen 's proift for accounting perid vent up to ERU 3.1 mn from EUR -24.5 mn a year ao .,1
33,"Besides we have [[increased]] the share of meat in various sausages and are offering a number of [[new]] tastes in the grill products and shish kebabs segment , '' Paavel said .","Besides we have [[increaJed]] the share of meat in various sausages and are offering a number of [[nbew]] tastes in the grill products and shish kebabs segment , '' Paavel said .",0.0006735324859619,0.9992334842681884,2,1,2,26,Successful,"Besides we have increaJed the share of meat in various sausages and are offering a number of nbew tastes in the grill products and shish kebabs segment , '' Paavel said .",1
34,"Both operating profit and net sales for the three-month period [[increased]] , [[respectively]] from EUR16 .0 m and EUR139m , as compared to the [[corresponding]] [[quarter]] in 2006 .","Both operating profit and net sales for the three-month period [[iOcreased]] , [[respeEctively]] from EUR16 .0 m and EUR139m , as compared to the [[corresponcing]] [[quIrter]] in 2006 .",0.000597596168518,0.7777920365333557,2,1,2,32,Successful,"Both operating profit and net sales for the three-month period iOcreased , respeEctively from EUR16 .0 m and EUR139m , as compared to the corresponcing quIrter in 2006 .",1
35,[[Diluted]] earnings per share ( [[EPS]] ) [[rose]] to [[EUR]] 3.[[68]] from [[EUR]] 0.50 .,[[Dliuted]] earnings per share ( [[ESP]] ) [[rAse]] to [[bEUR]] 3.[[86]] from [[EU]] 0.50 .,0.0007141232490539,0.0922256112098693,2,2,2,53,Failed,Dliuted earnings per share ( ESP ) rAse to bEUR 3.86 from EU 0.50 .,2
36,Finnish cutlery and hand [[tools]] maker Fiskars [[Oyj]] [[Abp]] ( HEL : FISAS ) said today its net [[profit]] [[rose]] to EUR 24.1 million ( USD 33.6 m ) in the [[third]] [[quarter]] of [[2010]] from [[EUR]] 17.9 million a year earlier .,Finnish cutlery and hand [[toxls]] maker Fiskars [[wyj]] [[ALbp]] ( HEL : FISAS ) said today its net [[piofit]] [[rosB]] to EUR 24.1 million ( USD 33.6 m ) in the [[thiad]] [[qKuarter]] of [[210]] from [[ER]] 17.9 million a year earlier .,0.0005506873130798,0.5067744851112366,2,1,2,76,Successful,Finnish cutlery and hand toxls maker Fiskars wyj ALbp ( HEL : FISAS ) said today its net piofit rosB to EUR 24.1 million ( USD 33.6 m ) in the thiad qKuarter of 210 from ER 17.9 million a year earlier .,1
37,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increase]] of 10.8 pct year-on-year .","HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an [[increse]] of 10.8 pct year-on-year .",0.0006009340286254,0.9993667006492616,2,1,2,24,Successful,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increse of 10.8 pct year-on-year .",1
38,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[increase]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .","In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an [[nicrease]] of 1.9 percent from the sales of 19.92 million liters in December 2004 .",0.0008862614631652,0.9926254749298096,2,1,2,30,Successful,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an nicrease of 1.9 percent from the sales of 19.92 million liters in December 2004 .",1
39,"In Sweden , operating profit for the [[period]] under review totaled EUR 3.4 mn , up [[30]].8 % from the corresponding [[period]] in [[2005]] .","In Sweden , operating profit for the [[peirod]] under review totaled EUR 3.4 mn , up [[t30]].8 % from the corresponding [[perido]] in [[0205]] .",0.0006101131439208,0.0006736516952514,2,2,2,69,Failed,"In Sweden , operating profit for the peirod under review totaled EUR 3.4 mn , up t30.8 % from the corresponding perido in 0205 .",2
40,"In the second quarter of [[2010]] , the group 's net profit [[rose]] to [[EUR]] 3.1 million from EUR 2.5 million in April-June [[2009]] .","In the second quarter of [[2100]] , the group 's net profit [[roise]] to [[EUsR]] 3.1 million from EUR 2.5 million in April-June [[209]] .",0.0005816221237182,0.0436886548995971,2,2,2,74,Failed,"In the second quarter of 2100 , the group 's net profit roise to EUsR 3.1 million from EUR 2.5 million in April-June 209 .",2
41,[[Its]] [[market]] share [[widened]] to 48.51 [[percent]] from [[48]].31 [[percent]] a year [[earlier]] .,[[IIs]] [[cmarket]] share [[wideend]] to 48.51 [[prcent]] from [[4U]].31 [[precent]] a year [[eariler]] .,0.0005251765251159,0.9986512064933776,2,1,2,45,Successful,IIs cmarket share wideend to 48.51 prcent from 4U.31 precent a year eariler .,1
42,"( ADP News ) - Feb 11 , 2009 - [[Finnish]] management software [[solutions]] provider [[Ixonos]] [[Oyj]] ( [[HEL]] : [[XNS1V]] ) said [[today]] its [[net]] [[profit]] [[rose]] to EUR 3.5 million ( USD 4.5 m ) for [[2008]] from [[EUR]] 3.1 million for 2007 .","( ADP News ) - Feb 11 , 2009 - [[Finlnish]] management software [[solutoins]] provider [[Ikxonos]] [[Ojy]] ( [[HLE]] : [[NXS1V]] ) said [[tday]] its [[not]] [[proafit]] [[roRe]] to EUR 3.5 million ( USD 4.5 m ) for [[208]] from [[REUR]] 3.1 million for 2007 .",0.0005555748939514,0.8872953057289124,2,0,2,92,Successful,"( ADP News ) - Feb 11 , 2009 - Finlnish management software solutoins provider Ikxonos Ojy ( HLE : NXS1V ) said tday its not proafit roRe to EUR 3.5 million ( USD 4.5 m ) for 208 from REUR 3.1 million for 2007 .",0
43,"( [[ADP]] [[News]] ) - Feb 6 , 2009 - Finnish [[fishing]] tackle company [[Rapala]] [[VMC]] Corp ( [[HEL]] : [[RAP1V]] ) [[said]] [[today]] its net profit [[rose]] to EUR [[19]].2 million ( [[USD]] [[24]].6 m ) for 2008 from [[EUR]] [[17]].5 [[million]] for 2007 .","( [[EADP]] [[New]] ) - Feb 6 , 2009 - Finnish [[fisxing]] tackle company [[RapHala]] [[MVC]] Corp ( [[EL]] : [[RAPZV]] ) [[sad]] [[todah]] its net profit [[rsoe]] to EUR [[91]].2 million ( [[SUD]] [[42]].6 m ) for 2008 from [[EU]] [[71]].5 [[millio]] for 2007 .",0.0005679726600646,0.0208979249000549,2,2,2,144,Failed,"( EADP New ) - Feb 6 , 2009 - Finnish fisxing tackle company RapHala MVC Corp ( EL : RAPZV ) sad todah its net profit rsoe to EUR 91.2 million ( SUD 42.6 m ) for 2008 from EU 71.5 millio for 2007 .",2
44,"( [[ADP]] [[News]] ) - Oct [[29]] , 2008 - [[Finnish]] lifting [[equipment]] maker [[Konecranes]] [[Oyj]] ( OMX : [[KCR1V]] ) said [[today]] that its net [[profit]] [[rose]] to [[EUR]] 116.6 million ( USD 149.1 m ) in the first nine months of [[2008]] from [[EUR]] 73.6 [[million]] for the s","( [[DAP]] [[eNws]] ) - Oct [[92]] , 2008 - [[Finnsh]] lifting [[eqeuipment]] maker [[Konecranhes]] [[yOj]] ( OMX : [[KCRi1V]] ) said [[tday]] that its net [[prQofit]] [[roes]] to [[EUN]] 116.6 million ( USD 149.1 m ) in the first nine months of [[2080]] from [[EU]] 73.6 [[milliwn]] for the s",0.0005671381950378,0.0118310451507568,2,2,2,151,Failed,"( DAP eNws ) - Oct 92 , 2008 - Finnsh lifting eqeuipment maker Konecranhes yOj ( OMX : KCRi1V ) said tday that its net prQofit roes to EUN 116.6 million ( USD 149.1 m ) in the first nine months of 2080 from EU 73.6 milliwn for the s",2
45,[[Net]] [[interest]] [[income]] [[increased]] by 4.5 % to [[EUR]] [[31]].4 [[mn]] from [[EUR]] [[30]].0 [[mn]] in [[2004]] .,[[NeX]] [[inteXest]] [[incmoe]] [[increaesd]] by 4.5 % to [[ERU]] [[b31]].4 [[nn]] from [[UR]] [[3t0]].0 [[nm]] in [[D2004]] .,0.0006041526794433,0.9313119053840636,2,1,2,60,Successful,NeX inteXest incmoe increaesd by 4.5 % to ERU b31.4 nn from UR 3t0.0 nm in D2004 .,1
46,Operating income [[rose]] to EUR [[696]].4 [[mn]] from [[EUR]] [[600]].3 [[mn]] in [[2009]] .,Operating income [[rosx]] to EUR [[69]].4 [[mE]] from [[ERU]] [[60A]].3 [[m]] in [[2Q009]] .,0.0006666779518127,0.1425752639770507,2,2,2,51,Failed,Operating income rosx to EUR 69.4 mE from ERU 60A.3 m in 2Q009 .,2
47,Operating [[profit]] [[rose]] to EUR [[13]].5 [[mn]] from [[EUR]] 9.7 [[mn]] in the corresponding [[period]] in [[2006]] .,Operating [[prRfit]] [[rsoe]] to EUR [[E3]].5 [[n]] from [[ERU]] 9.7 [[nm]] in the corresponding [[preiod]] in [[006]] .,0.000634491443634,0.9973809123039246,2,1,2,51,Successful,Operating prRfit rsoe to EUR E3.5 n from ERU 9.7 nm in the corresponding preiod in 006 .,1
48,[[Operating]] profit [[rose]] to [[EUR]] 4.7 [[mn]] from [[EUR]] 4.6 [[mn]] .,[[Operatnig]] profit [[rsose]] to [[EUdR]] 4.7 [[n]] from [[lEUR]] 4.6 [[nm]] .,0.0006963014602661,0.93556547164917,2,1,2,39,Successful,Operatnig profit rsose to EUdR 4.7 n from lEUR 4.6 nm .,1
49,"Operating profit [[totaled]] EUR [[37]],7 [[mn]] , up [[slightly]] from EUR 37.2 mn in the corresponding [[period]] in [[2006]] .","Operating profit [[totale]] EUR [[73]],7 [[Un]] , up [[lightly]] from EUR 37.2 mn in the corresponding [[peraod]] in [[206]] .",0.000612735748291,0.0011537075042724,2,2,2,67,Failed,"Operating profit totale EUR 73,7 Un , up lightly from EUR 37.2 mn in the corresponding peraod in 206 .",2
50,Orion Pharma 's operating [[profit]] [[increased]] by 42.5 % from 2004 .,Orion Pharma 's operating [[Jrofit]] [[Uincreased]] by 42.5 % from 2004 .,0.0005611777305603,0.9838461875915528,2,1,2,21,Successful,Orion Pharma 's operating Jrofit Uincreased by 42.5 % from 2004 .,1
51,"Press release 9 October 2009 Ruukki has [[signed]] a [[contract]] to [[deliver]] and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Press release 9 October 2009 Ruukki has [[gigned]] a [[contracEt]] to [[dLliver]] and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",0.0007403492927551,0.9904115796089172,2,1,2,30,Successful,"Press release 9 October 2009 Ruukki has gigned a contracEt to dLliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",1
52,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent [[growth]] in beer sales for January-September to 101.99 million liters .","Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent [[rowth]] in beer sales for January-September to 101.99 million liters .",0.0005313754081726,0.9976468086242676,2,0,2,26,Successful,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent rowth in beer sales for January-September to 101.99 million liters .",0
53,"[[The]] [[company]] 's operating income ( EBIT ) [[totalled]] EUR 0.0 [[mn]] , up from EUR -0.3 mn year-on-year .","[[ThJ]] [[Yompany]] 's operating income ( EBIT ) [[Rotalled]] EUR 0.0 [[n]] , up from EUR -0.3 mn year-on-year .",0.0006000995635986,0.0006240010261535,2,2,2,59,Failed,"ThJ Yompany 's operating income ( EBIT ) Rotalled EUR 0.0 n , up from EUR -0.3 mn year-on-year .",2
