"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has [[signed]] an [[agreement]] for a one-year syndicated credit facility for a total of EUR 1.5 billion .","Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has [[sign-language]] an [[correspondence]] for a one-year syndicated credit facility for a total of EUR 1.5 billion .",0.0005595088005065918,0.9996328949928284,2,1,2,262,"Successful"
"Lule+Ñ municipality has [[awarded]] YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .","Lule+Ñ municipality has [[present]] YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",0.0005967617034912109,0.6579751968383789,2,1,2,108,"Successful"
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a [[smooth]] user experience .","`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a [[bland]] user experience .",0.0008627176284790039,0.9106960296630859,2,1,2,107,"Successful"
"The [[company]] [[designs]] , [[manufactures]] and [[markets]] high-quality clothing , [[interior]] decoration textiles , bags and other [[accessories]] .","The [[troupe]] [[innovation]] , [[invent]] and [[commercialize]] high-quality clothing , [[inside]] decoration textiles , bags and other [[accessory]] .",0.0005035400390625,0.8714708685874939,1,2,1,159,"Successful"
"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to [[acquire]] local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .","Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to [[win]] local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",0.0017153620719909668,0.9953725934028625,1,2,1,232,"Successful"
"As a result some 20 persons will no [[longer]] be needed .","As a result some 20 persons will no [[prospicient]] be needed .",0.0016100406646728516,0.9995404481887817,0,1,0,78,"Successful"
"Cohen & Steers , Inc. : 5 534 530 [[shares]] [[representing]] 4.985 % of the share [[capital]] and voting [[rights]] .","Cohen & Steers , Inc. : 5 534 530 [[deal]] [[defend]] 4.985 % of the share [[majuscule]] and voting [[correct]] .",0.0005867481231689453,0.9382794499397278,1,2,1,148,"Successful"
"Amer [[Sports]] [[divests]] an industrial [[site]] in Rumilly , France -  This announcement is [[distributed]] by Thomson Reuters on behalf of Thomson Reuters clients .","Amer [[athletics]] [[undress]] an industrial [[website]] in Rumilly , France -  This announcement is [[administer]] by Thomson Reuters on behalf of Thomson Reuters clients .",0.0004971027374267578,0.001017749309539795,1,1,1,125,"Failed"
"Outotec is currently [[delivering]] a new oil shale [[processing]] [[plant]] for Eesti Energia in Estonia based on Enefit technology , which has been [[developed]] jointly by Eesti Energia and Outotec .","Outotec is currently [[birth]] a new oil shale [[serve]] [[implant]] for Eesti Energia in Estonia based on Enefit technology , which has been [[modernize]] jointly by Eesti Energia and Outotec .",0.0007467865943908691,0.5774011611938477,1,2,1,156,"Successful"
"The [[commission]] said the [[hydrogen]] peroxide and [[PBS]] [[market]] was [[worth]] about 470 [[million]] euros in 2000 .","The [[perpetration]] said the [[H]] peroxide and [[petabit]] [[commercialize]] was [[deserving]] about 470 [[1000000]] euros in 2000 .",0.0007383227348327637,0.22362911701202393,1,1,1,111,"Failed"
"[[In]] [[addition]] the production personnel of the Sport Division have been [[given]] a temporary lay-off [[warning]] .","[[inwards]] [[improver]] the production personnel of the Sport Division have been [[break]] a temporary lay-off [[exemplary]] .",0.0015404224395751953,0.9527021646499634,0,2,0,175,"Successful"
"Konecranes has previously communicated an estimated [[reduction]] of about 1,600 employees on group level in 2009 .","Konecranes has previously communicated an estimated [[simplification]] of about 1,600 employees on group level in 2009 .",0.0012572407722473145,0.9987633228302002,0,1,0,69,"Successful"
"Operating profit was EUR 9.8 mn , [[compared]] to a [[loss]] of EUR 12.7 mn in the corresponding period in 2009 .","Operating profit was EUR 9.8 mn , [[equate]] to a [[departure]] of EUR 12.7 mn in the corresponding period in 2009 .",0.000783085823059082,0.9774613976478577,2,0,2,109,"Successful"
"Our customers [[include]] [[companies]] in the [[energy]] and [[process]] industry sectors , in [[particular]] .","Our customers [[admit]] [[companionship]] in the [[DOE]] and [[operation]] industry sectors , in [[exceptional]] .",0.0005252957344055176,0.9955230951309204,1,2,1,106,"Successful"
"The [[fair]] value of the property portfolio [[doubled]] as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","The [[funfair]] value of the property portfolio [[reduplicate]] as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",0.0005386471748352051,0.9995813369750977,2,1,2,143,"Successful"
"Kazgiprotsvetmet and Outotec Finland have [[signed]] an [[agreement]] on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .","Kazgiprotsvetmet and Outotec Finland have [[sign-language]] an [[concord]] on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .",0.0007052421569824219,0.9210788607597351,2,1,2,128,"Successful"
"It [[rose]] by 15.7 % and by 24.8 % in Finland and abroad , [[respectively]] , to EUR 7 million and EUR 4.2 million , due to a 40 % [[growth]] in [[Russia]] .","It [[rebel]] by 15.7 % and by 24.8 % in Finland and abroad , [[severally]] , to EUR 7 million and EUR 4.2 million , due to a 40 % [[emergence]] in [[USSR]] .",0.0006397366523742676,0.8544307947158813,2,0,2,155,"Successful"
"The [[agreement]] will provide The Switch with [[double]] the converter capacity , whilst [[opening]] up further manufacturing locations in China .","The [[understanding]] will provide The Switch with [[duple]] the converter capacity , whilst [[give]] up further manufacturing locations in China .",0.0005061626434326172,0.9867962598800659,2,0,2,139,"Successful"
"The [[last]] job losses related to these reductions will take place during 2010 .","The [[last-place]] job losses related to these reductions will take place during 2010 .",0.0017262697219848633,0.8686009049415588,1,0,1,184,"Successful"
"On Wednesday he announced that the government would propose [[granting]] a licence for two reactors , one to be built by Fennovoima , and the other by TVO .","On Wednesday he announced that the government would propose [[cede]] a licence for two reactors , one to be built by Fennovoima , and the other by TVO .",0.0005667805671691895,0.9939884543418884,2,1,2,88,"Successful"
"Finnish cargo handling solutions company Cargotec Oyj said on June 17 , 2008 that it will [[acquire]] New Zealand tailgates distributor Zepro Tailgate ( 1987 ) Limited for an undisclosed sum .","Finnish cargo handling solutions company Cargotec Oyj said on June 17 , 2008 that it will [[win]] New Zealand tailgates distributor Zepro Tailgate ( 1987 ) Limited for an undisclosed sum .",0.0016703009605407715,0.9994708299636841,1,2,1,163,"Successful"
"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term [[partner]] in [[supplying]] Velta-branded [[systems]] particularly for the commercial and industrial building sector in the UK and internationally .","Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term [[cooperator]] in [[supply]] Velta-branded [[scheme]] particularly for the commercial and industrial building sector in the UK and internationally .",0.0012329816818237305,0.8144592642784119,1,2,1,138,"Successful"
"Finnish insurance company Fennia and Kesko Group are [[ending]] their loyal customer cooperation .","Finnish insurance company Fennia and Kesko Group are [[conclusion]] their loyal customer cooperation .",0.002119123935699463,0.9985334277153015,0,2,0,49,"Successful"
"The credit [[covers]] approximately 70 % of the ship 's [[price]] .","The credit [[compensate]] approximately 70 % of the ship 's [[damage]] .",0.0005592703819274902,0.9494753479957581,1,2,1,110,"Successful"
"Danish company FLSmidth has acknowledged that it has [[violated]] a patent held by Finnish Metso .","Danish company FLSmidth has acknowledged that it has [[despoil]] a patent held by Finnish Metso .",0.005820631980895996,0.9974026083946228,0,1,0,114,"Successful"
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a [[variety]] of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .","`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a [[multifariousness]] of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",0.0010500550270080566,0.6359086036682129,1,2,1,179,"Successful"
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales [[contracted]] to EUR 340.4 million from EUR 361.1 million .","In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales [[cut]] to EUR 340.4 million from EUR 361.1 million .",0.0006586909294128418,0.9987902641296387,2,0,2,219,"Successful"
"Both Mr Walden and Mr Ignatius will be [[responsible]] also for the newspapers ' business result .","Both Mr Walden and Mr Ignatius will be [[creditworthy]] also for the newspapers ' business result .",0.0005882978439331055,0.9983474016189575,1,2,1,46,"Successful"
"The [[fair]] value of the company 's investment properties [[went]] down to EUR 2.768 billion at the [[end]] of 2009 from EUR 2.916 billion a year earlier .","The [[fairish]] value of the company 's investment properties [[break]] down to EUR 2.768 billion at the [[goal]] of 2009 from EUR 2.916 billion a year earlier .",0.001238703727722168,0.9936184883117676,0,2,0,219,"Successful"
"The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 [[pct]] in 2006 .","The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 [[percent]] in 2006 .",0.000656425952911377,0.9814098477363586,1,2,1,81,"Successful"
"Mformation [[provides]] enhanced management of these applications by enabling configuration and [[control]] throughout their lifecycle .","Mformation [[supply]] enhanced management of these applications by enabling configuration and [[mastery]] throughout their lifecycle .",0.0009884834289550781,0.999127209186554,1,2,1,92,"Successful"
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to [[increase]] the forward and return path capacity of the transmission networks .","The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to [[increment]] the forward and return path capacity of the transmission networks .",0.0005527138710021973,0.9980449676513672,2,1,2,168,"Successful"
"Finnish Kemira 's net sales EUR [[decreased]] to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .","Finnish Kemira 's net sales EUR [[minify]] to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",0.0014407038688659668,0.9972441792488098,0,2,0,90,"Successful"
"Their [[names]] have not [[yet]] been [[released]] .","Their [[distinguish]] have not [[notwithstanding]] been [[liberate]] .",0.0008010268211364746,0.10863322019577026,1,1,1,99,"Failed"
"Ahlstrom , headquartered in Helsinki , Finland , is a [[global]] [[company]] [[involved]] in the [[development]] , manufacture and marketing of high performance fibre-based materials .","Ahlstrom , headquartered in Helsinki , Finland , is a [[world]] [[troupe]] [[involve]] in the [[exploitation]] , manufacture and marketing of high performance fibre-based materials .",0.0020761489868164062,0.0033396482467651367,1,1,1,163,"Failed"
"Vaisala 's [[expertise]] in lightning data and information [[systems]] is [[based]] on [[extensive]] experience and investment in R&D .","Vaisala 's [[expertness]] in lightning data and information [[scheme]] is [[ground]] on [[all-inclusive]] experience and investment in R&D .",0.0009281635284423828,0.8379027247428894,1,2,1,85,"Successful"
"Aldata noted that its Voice Supply Chain Technology [[approach]] enables VDW to integrate with warehouse management systems .","Aldata noted that its Voice Supply Chain Technology [[advance]] enables VDW to integrate with warehouse management systems .",0.002176046371459961,0.7632144689559937,1,2,1,85,"Successful"
"Kalmar [[Espana]] [[generated]] [[net]] sales of some [[11]].[[3]] mln euro $ [[14]].8 mln in 2005 .","Kalmar [[Spain]] [[engender]] [[last]] sales of some [[XI]].[[trio]] mln euro $ [[XIV]].8 mln in 2005 .",0.0007281899452209473,0.4034690856933594,1,1,1,136,"Failed"
"The commission [[found]] evidence of several [[meetings]] to discuss the cartel , including [[one]] in a Brussels restaurant in November 1997 at which the companies discussed price increases .","The commission [[regain]] evidence of several [[encounter]] to discuss the cartel , including [[unity]] in a Brussels restaurant in November 1997 at which the companies discussed price increases .",0.0017693638801574707,0.6205219030380249,1,2,1,206,"Successful"
"`` [[Serving]] customers locally is [[one]] of the cornerstones of customer [[focus]] for us .","`` [[service]] customers locally is [[matchless]] of the cornerstones of customer [[center]] for us .",0.0012503862380981445,0.6795546412467957,1,2,1,117,"Successful"
"Last year 's third quarter result had been [[burdened]] by costs stemming from restructuring in the US .","Last year 's third quarter result had been [[charge]] by costs stemming from restructuring in the US .",0.00214993953704834,0.9983078241348267,0,1,0,93,"Successful"
"[[Section]] : Regional [[News]] - The [[demand]] in Finnair 's Asian [[traffic]] , [[measured]] in [[passenger]] [[kilometers]] , was up [[34]].[[9]] % in August compare to [[last]] [[year]] .","[[part]] : Regional [[newsworthiness]] - The [[necessitate]] in Finnair 's Asian [[dealings]] , [[careful]] in [[rider]] [[klick]] , was up [[xxxiv]].[[ennead]] % in August compare to [[finally]] [[twelvemonth]] .",0.0006051063537597656,0.06992918252944946,2,2,2,188,"Failed"
"In 2009 , it reported [[net]] sales of [[approximately]] EUR 6mn .","In 2009 , it reported [[sack]] sales of [[some]] EUR 6mn .",0.0004937648773193359,0.5653789043426514,1,0,1,61,"Successful"
"The contract [[covers]] turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .","The contract [[extend]] turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",0.002683103084564209,0.9997400641441345,1,2,1,183,"Successful"
"Scanfil expects net sales in 2008 to [[remain]] at the 2007 level .","Scanfil expects net sales in 2008 to [[persist]] at the 2007 level .",0.00047957897186279297,0.7428032159805298,1,2,1,64,"Successful"
"Israeli cable network operator HOT Telecom has [[chosen]] Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , [[according]] to Teleste today .","Israeli cable network operator HOT Telecom has [[opt]] Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , [[allot]] to Teleste today .",0.0008937716484069824,0.5889012813568115,2,1,2,86,"Successful"
"CapMan Plc Press [[Release]] 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will [[transfer]] to CapMan effective no later than September 2008 .","CapMan Plc Press [[sacking]] 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will [[remove]] to CapMan effective no later than September 2008 .",0.0005049705505371094,0.8239139318466187,1,0,1,270,"Successful"
"The transaction [[covers]] a building [[lot]] of 46,763 sq m and [[factory]] [[buildings]] of 19,631 sq m. Since the autumn of 2007 , when Scanfil [[discontinued]] its [[production]] [[operations]] in Oulu , the [[facilities]] have been partly leased to other [[parties]] .","The transaction [[masking]] a building [[slew]] of 46,763 sq m and [[mill]] [[progress]] of 19,631 sq m. Since the autumn of 2007 , when Scanfil [[break]] its [[yield]] [[performance]] in Oulu , the [[facility]] have been partly leased to other [[company]] .",0.000670313835144043,0.0041138529777526855,1,1,1,296,"Failed"
"[[8]],600 m , and at the [[time]] of [[investment]] it is [[fully]] [[leased]] to several [[tenants]] .","[[octet]],600 m , and at the [[clip]] of [[investing]] it is [[amply]] [[charter]] to several [[tenant]] .",0.0006747245788574219,0.01280122995376587,1,1,1,69,"Failed"
"After piloting , the instrument will be further [[developed]] [[according]] to the experiences gained .","After piloting , the instrument will be further [[modernize]] [[concord]] to the experiences gained .",0.0007163882255554199,0.983443558216095,1,2,1,105,"Successful"
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a [[loss]] , as announced before .","Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a [[release]] , as announced before .",0.0014786124229431152,0.9997549057006836,0,1,0,118,"Successful"
"16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will [[deliver]] minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .","16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will [[cede]] minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .",0.0008444786071777344,0.9993177652359009,2,1,2,114,"Successful"
"The company said shareholders will be able to [[vote]] on the agreement at an EGM scheduled for [[later]] this month .","The company said shareholders will be able to [[voting]] on the agreement at an EGM scheduled for [[belated]] this month .",0.005887210369110107,0.9448146224021912,1,2,1,78,"Successful"
"Shareholders of Rakvere Lihakombinaat decided in [[favor]] of the buyout of minority shares in mid-July .","Shareholders of Rakvere Lihakombinaat decided in [[prefer]] of the buyout of minority shares in mid-July .",0.0014693737030029297,0.9953584671020508,2,1,2,37,"Successful"
"Technopolis said before the protocol was signed that the techno-park would be [[built]] at a [[site]] covering more than six hectares in the Neudorf special economic zone and that it planned to [[invest]] 200 million euros in the [[project]] until 2009 inclusive .","Technopolis said before the protocol was signed that the techno-park would be [[reinforced]] at a [[situation]] covering more than six hectares in the Neudorf special economic zone and that it planned to [[empower]] 200 million euros in the [[externalize]] until 2009 inclusive .",0.0007101297378540039,0.715670645236969,1,2,1,234,"Successful"
"Why [[put]] up [[costly]] cell phone [[towers]] in [[thinly]] populated [[areas]] when a few [[balloons]] would do ?","Why [[cast]] up [[dear]] cell phone [[towboat]] in [[thin]] populated [[country]] when a few [[inflate]] would do ?",0.0026046037673950195,0.5942673683166504,1,0,1,119,"Successful"
"HELSINKI AFX - Outokumpu [[said]] its technology [[unit]] has won a 28 mln eur [[contract]] from [[Bosnia-Herzegovina]] 's Aluminij dd Mostar to [[upgrade]] an anode plant .","HELSINKI AFX - Outokumpu [[allege]] its technology [[whole]] has won a 28 mln eur [[reduce]] from [[Bosnia]] 's Aluminij dd Mostar to [[promote]] an anode plant .",0.0005939006805419922,0.00901263952255249,2,2,2,144,"Failed"
"Telecom has a [[foreign]] investment [[limit]] of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can [[pick]] up as much as 96.6 % .","Telecom has a [[extraneous]] investment [[limitation]] of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can [[blame]] up as much as 96.6 % .",0.0007886886596679688,0.5222085118293762,1,0,1,138,"Successful"
"The [[fair]] value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .","The [[mediocre]] value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .",0.0008623600006103516,0.9975953102111816,1,0,1,82,"Successful"
"`` We have [[tailored]] our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''","`` We have [[cut]] our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",0.0005977153778076172,0.9773637056350708,2,0,2,92,"Successful"
"The [[net]] sales of Healthcare [[Trade]] [[business]] in 2009 were EUR 145.1 million EUR 155.2 million and [[operating]] [[profit]] EUR [[8]].9 million EUR 7.9 million .","The [[last]] sales of Healthcare [[trade]] [[patronage]] in 2009 were EUR 145.1 million EUR 155.2 million and [[manoeuvre]] [[gain]] EUR [[VIII]].9 million EUR 7.9 million .",0.0005251765251159668,0.9680280089378357,1,2,1,206,"Successful"
"The insurance division turned a EUR120m [[profit]] .","The insurance division turned a EUR120m [[gain]] .",0.0006028413772583008,0.9992783069610596,1,2,1,49,"Successful"
"One of the headboxes will be equipped with a [[modern]] consistency [[control]] system to ensure [[cross]] machine profile of the plasterboard .","One of the headboxes will be equipped with a [[innovative]] consistency [[mastery]] system to ensure [[hybridize]] machine profile of the plasterboard .",0.0006883144378662109,0.9894270300865173,1,2,1,193,"Successful"
"Even so , Tulikivi emissions are [[well]] below some of the [[strictest]] state standards including Washington and Colorado .","Even so , Tulikivi emissions are [[advantageously]] below some of the [[hard-and-fast]] state standards including Washington and Colorado .",0.0017521381378173828,0.9589066505432129,1,2,1,82,"Successful"
